2026-05-20 11:18:22,063 - INFO - 金价监控启动，检查间隔 10 分钟，超时 30 分钟
2026-05-20 12:23:30,847 - INFO - 金价监控启动，检查间隔 10 分钟，超时 30 分钟
2026-05-20 12:23:31,110 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:23:31,111 - INFO - 当前金价: 998.07元, 基准价(早盘价): 999.72元, 涨跌: -0.17%
2026-05-20 12:23:31,356 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:24:01,617 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:24:31,909 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:25:02,195 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:25:32,483 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:26:02,754 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:26:33,053 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:27:03,338 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:27:33,602 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:28:03,866 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:28:34,128 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:29:04,365 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:29:34,707 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:30:04,989 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:30:35,245 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:31:05,495 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:31:35,786 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:32:06,094 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:32:36,343 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:33:06,603 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:33:36,882 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:33:36,883 - INFO - 当前金价: 998.07元, 基准价(早盘价): 999.72元, 涨跌: -0.17%
2026-05-20 12:33:37,120 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:34:07,354 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:34:37,634 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:35:07,868 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:35:38,142 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:36:08,393 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:36:38,660 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:37:08,940 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:37:39,193 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:38:09,461 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:38:39,723 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:39:09,965 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:39:40,221 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:40:10,470 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:40:40,755 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:41:11,069 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:41:41,368 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:42:11,605 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:42:41,864 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:43:12,134 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:43:42,398 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:43:42,400 - INFO - 当前金价: 998.07元, 基准价(早盘价): 999.72元, 涨跌: -0.17%
2026-05-20 12:43:42,662 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:44:12,907 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:44:43,175 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:45:13,447 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:45:43,716 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
